"Index" "AAPL.Adjusted"
2007-12-03 23.392981
2007-12-04 23.517232
2007-12-05 24.261422
2007-12-06 24.843434
2007-12-07 25.412369
2007-12-10 25.400598
2007-12-11 24.659022
2007-12-12 24.962454
2007-12-13 25.089319
2007-12-14 24.900983
2007-12-17 24.117554
2007-12-18 23.931833
2007-12-19 23.950144
2007-12-20 24.485072
2007-12-21 25.361362
2007-12-24 26.00092
2007-12-26 26.020539
2007-12-27 25.97084
2007-12-28 26.135633
2007-12-31 25.906752
2008-01-02 25.482995
2008-01-03 25.494766
2008-01-04 23.54862
2008-01-07 23.233417
2008-01-08 22.397674
2008-01-09 23.463607
2008-01-10 23.283119
2008-01-11 22.586011
2008-01-14 23.382519
2008-01-15 22.10863
2008-01-16 20.87921
2008-01-17 21.042697
2008-01-18 21.104167
2008-01-22 20.356052
2008-01-23 18.188874
2008-01-24 17.735035
2008-01-25 17.003922
2008-01-28 17.003922
2008-01-29 17.204031
2008-01-30 17.287734
2008-01-31 17.703645
2008-02-01 17.493075
2008-02-04 17.218416
2008-02-05 16.918909
2008-02-06 15.9563
2008-02-07 15.856899
2008-02-08 16.411447
2008-02-11 16.93068
2008-02-12 16.330357
2008-02-13 16.92414
2008-02-14 16.670408
2008-02-15 16.300275
2008-02-19 15.979842
2008-02-20 16.194336
2008-02-21 15.896137
2008-02-22 15.624094
2008-02-25 15.660716
2008-02-26 15.58355
2008-02-27 16.081857
2008-02-28 16.990843
2008-02-29 16.351284
2008-03-03 15.920986
2008-03-04 16.298967
2008-03-05 16.281966
2008-03-06 15.816355
2008-03-07 15.988996
2008-03-10 15.654176
2008-03-11 16.656023
2008-03-12 16.483381
2008-03-13 16.733189
2008-03-14 16.559238
2008-03-17 16.574933
2008-03-18 17.37144
2008-03-19 16.959454
2008-03-20 17.430296
2008-03-24 18.249037
2008-03-25 18.438681
2008-03-26 18.972301
2008-03-27 18.343206
2008-03-28 18.704184
2008-03-31 18.76827
2008-04-01 19.556931
2008-04-02 19.290119
2008-04-03 19.828972
2008-04-04 20.021233
2008-04-07 20.388751
2008-04-08 19.989843
2008-04-09 19.806737
2008-04-10 20.213492
2008-04-11 19.244344
2008-04-14 19.328049
2008-04-15 19.406523
2008-04-16 20.102322
2008-04-17 20.205645
2008-04-18 21.062315
2008-04-21 21.993536
2008-04-22 20.952452
2008-04-23 21.304276
2008-04-24 22.09555
2008-04-25 22.198875
2008-04-28 22.527156
2008-04-29 22.894674
2008-04-30 22.750806
2008-05-01 23.54208
2008-05-02 23.665023
2008-05-05 24.160714
2008-05-06 24.413138
2008-05-07 23.880826
2008-05-08 24.203876
2008-05-09 23.993305
2008-05-12 24.609321
2008-05-13 24.844742
2008-05-14 24.360823
2008-05-15 24.814662
2008-05-16 24.538695
2008-05-19 24.012922
2008-05-20 24.313738
2008-05-21 23.305353
2008-05-22 23.156252
2008-05-23 23.695104
2008-05-27 24.383056
2008-05-28 24.458914
2008-05-29 24.417062
2008-05-30 24.686487
2008-06-02 24.339896
2008-06-03 24.244419
2008-06-04 24.220879
2008-06-05 24.775424
2008-06-06 24.279733
2008-06-09 23.752653
2008-06-10 24.279733
2008-06-11 23.64802
2008-06-12 22.660561
2008-06-13 22.544159
2008-06-16 23.128787
2008-06-17 23.72911
2008-06-18 23.378595
2008-06-19 23.659792
2008-06-20 22.923448
2008-06-23 22.647482
2008-06-24 22.659253
2008-06-25 23.200721
2008-06-26 22.006615
2008-06-27 22.245958
2008-06-30 21.899367
2008-07-01 22.846283
2008-07-02 21.996152
2008-07-03 22.249882
2008-07-07 22.909061
2008-07-08 23.483226
2008-07-09 22.790042
2008-07-10 23.101321
2008-07-11 22.571624
2008-07-14 22.74165
2008-07-15 22.187103
2008-07-16 22.601706
2008-07-17 22.470916
2008-07-18 21.59986
2008-07-21 21.748959
2008-07-22 21.190488
2008-07-23 21.745036
2008-07-24 20.799428
2008-07-25 21.203568
2008-07-28 20.193873
2008-07-29 20.54439
2008-07-30 20.9106
2008-07-31 20.788966
2008-08-01 20.489457
2008-08-04 20.04085
2008-08-05 21.01
2008-08-06 21.474302
2008-08-07 21.393213
2008-08-08 22.175332
2008-08-11 22.699797
2008-08-12 23.1144
2008-08-13 23.450529
2008-08-14 23.453145
2008-08-15 22.984919
2008-08-18 22.939142
2008-08-19 22.695875
2008-08-20 22.997998
2008-08-21 22.795274
2008-08-22 23.122247
2008-08-25 22.5677
2008-08-26 22.71026
2008-08-27 22.844975
2008-08-28 22.72334
2008-08-29 22.172716
2008-09-02 21.73588
2008-09-03 21.836589
2008-09-04 21.085858
2008-09-05 20.949836
2008-09-08 20.654252
2008-09-09 19.838127
2008-09-10 19.828972
2008-09-11 19.964992
2008-09-12 19.479765
2008-09-15 18.357591
2008-09-16 18.294812
2008-09-17 16.718802
2008-09-18 17.537542
2008-09-19 18.429525
2008-09-22 17.139942
2008-09-23 16.589321
2008-09-24 16.833895
2008-09-25 17.255038
2008-09-26 16.772425
2008-09-29 13.766886
2008-09-30 14.865516
2008-10-01 14.271733
2008-10-02 13.092013
2008-10-03 12.695721
2008-10-06 12.835666
2008-10-07 11.661177
2008-10-08 11.743575
2008-10-09 11.606246
2008-10-10 12.660408
2008-10-13 14.420833
2008-10-14 13.612554
2008-10-15 12.810816
2008-10-16 13.326126
2008-10-17 12.738882
2008-10-20 12.874902
2008-10-21 11.965916
2008-10-22 12.669563
2008-10-23 12.847437
2008-10-24 12.605477
2008-10-27 12.04439
2008-10-28 13.067163
