"Index" "GOOG.Adjusted"
2007-12-03 340.425153
2007-12-04 341.738841
2007-12-05 348.906703
2007-12-06 357.273344
2007-12-07 357.078536
2007-12-10 358.851765
2007-12-11 349.251336
2007-12-12 349.326279
2007-12-13 346.67892
2007-12-14 344.635969
2007-12-17 334.281307
2007-12-18 336.339252
2007-12-19 338.347225
2007-12-20 344.501078
2007-12-21 347.997596
2007-12-24 350.015576
2007-12-26 355.065544
2007-12-27 350.020594
2007-12-28 350.914676
2007-12-31 345.39519
2008-01-02 342.253343
2008-01-03 342.323267
2008-01-04 328.172376
2008-01-07 324.301267
2008-01-08 315.525025
2008-01-09 326.274293
2008-01-10 323.042508
2008-01-11 318.806752
2008-01-14 326.583979
2008-01-15 318.507041
2008-01-16 307.667867
2008-01-17 300.095424
2008-01-18 299.825703
2008-01-22 291.883625
2008-01-23 274.03642
2008-01-24 286.958542
2008-01-25 282.917563
2008-01-28 277.712752
2008-01-29 274.985492
2008-01-30 273.861594
2008-01-31 281.868608
2008-02-01 257.692754
2008-02-04 247.467964
2008-02-05 253.147281
2008-02-06 250.604824
2008-02-07 252.22321
2008-02-08 258.08736
2008-02-11 260.320131
2008-02-12 258.786663
2008-02-13 267.043415
2008-02-14 265.859599
2008-02-15 264.555887
2008-02-19 254.221223
2008-02-20 254.246193
2008-02-21 251.179258
2008-02-22 253.646788
2008-02-25 242.977436
2008-02-26 231.863537
2008-02-27 236.194219
2008-02-28 237.45795
2008-02-29 235.355051
2008-03-03 228.282115
2008-03-04 222.078305
2008-03-05 223.626752
2008-03-06 216.13424
2008-03-07 216.458906
2008-03-10 206.603751
2008-03-11 219.700683
2008-03-12 219.870505
2008-03-13 221.284092
2008-03-14 218.741634
2008-03-17 209.725631
2008-03-18 219.361022
2008-03-19 215.784589
2008-03-20 216.55882
2008-03-24 230.050342
2008-03-25 225.165223
2008-03-26 228.866526
2008-03-27 221.818561
2008-03-28 218.82155
2008-03-31 220.015357
2008-04-01 232.622773
2008-04-02 232.617785
2008-04-03 227.333058
2008-04-04 235.310098
2008-04-07 238.172233
2008-04-08 233.671729
2008-04-09 231.863537
2008-04-10 234.306096
2008-04-11 228.496891
2008-04-14 225.604782
2008-04-15 223.197185
2008-04-16 227.288105
2008-04-17 224.545835
2008-04-18 269.436017
2008-04-21 268.626824
2008-04-22 277.223252
2008-04-23 272.972501
2008-04-24 271.249213
2008-04-25 271.758696
2008-04-28 275.784679
2008-04-29 278.956516
2008-04-30 286.858628
2008-05-01 296.244266
2008-05-02 290.355146
2008-05-05 297.153342
2008-05-06 292.887627
2008-05-07 289.211295
2008-05-08 291.214281
2008-05-09 286.314168
2008-05-12 292.178317
2008-05-13 291.209293
2008-05-14 287.86263
2008-05-15 290.210279
2008-05-16 289.745749
2008-05-19 288.472026
2008-05-20 289.011499
2008-05-21 274.72076
2008-05-22 274.456027
2008-05-23 272.038423
2008-05-27 280.170321
2008-05-28 283.836646
2008-05-29 291.209293
2008-05-30 292.6079
2008-06-02 287.213268
2008-06-03 283.367129
2008-06-04 285.824667
2008-06-05 292.857638
2008-06-06 283.217274
2008-06-09 278.656836
2008-06-10 276.808664
2008-06-11 272.328127
2008-06-12 276.199267
2008-06-13 285.470027
2008-06-16 286.119359
2008-06-17 284.446043
2008-06-18 280.90956
2008-06-19 279.820669
2008-06-20 272.942511
2008-06-23 272.333145
2008-06-24 270.879578
2008-06-25 275.225255
2008-06-26 264.146318
2008-06-27 263.771695
2008-06-30 262.947507
2008-07-01 267.098375
2008-07-02 263.257194
2008-07-03 268.232219
2008-07-07 271.683783
2008-07-08 276.988478
2008-07-09 270.504955
2008-07-10 270.015455
2008-07-11 266.633815
2008-07-14 260.549886
2008-07-15 257.787649
2008-07-16 267.532915
2008-07-17 266.454001
2008-07-18 240.419999
2008-07-21 234.166232
2008-07-22 238.317085
2008-07-23 244.366052
2008-07-24 237.572828
2008-07-25 245.744676
2008-07-28 238.322088
2008-07-29 241.314096
2008-07-30 241.109311
2008-07-31 236.638766
2008-08-01 233.696699
2008-08-04 231.269135
2008-08-05 239.685733
2008-08-06 242.927494
2008-08-07 239.321087
2008-08-08 247.258161
2008-08-11 250.170253
2008-08-12 251.054374
2008-08-13 249.765656
2008-08-14 252.492946
2008-08-15 254.820613
2008-08-18 248.901518
2008-08-19 245.005422
2008-08-20 242.258165
2008-08-21 243.022389
2008-08-22 245.050376
2008-08-25 241.264154
2008-08-26 236.843566
2008-08-27 234.056343
2008-08-28 236.653745
2008-08-29 231.413987
2008-09-02 232.393003
2008-09-03 231.973427
2008-09-04 224.905479
2008-09-05 221.90348
2008-09-08 209.765596
2008-09-09 209.121237
2008-09-10 206.873487
2008-09-11 216.658718
2008-09-12 218.611762
2008-09-15 216.713663
2008-09-16 221.244141
2008-09-17 207.038321
2008-09-18 219.321057
2008-09-19 224.351027
2008-09-22 214.855514
2008-09-23 214.420944
2008-09-24 217.338039
2008-09-25 219.580801
2008-09-26 215.305064
2008-09-29 190.310011
2008-09-30 200.06028
2008-10-01 205.654694
2008-10-02 195.050278
2008-10-03 193.262068
2008-10-06 185.419905
2008-10-07 172.832471
2008-10-08 168.886403
2008-10-09 164.32595
2008-10-10 165.834447
2008-10-13 190.320002
2008-10-14 181.174142
2008-10-15 169.415869
2008-10-16 176.333961
2008-10-17 186.084231
2008-10-20 189.470859
2008-10-21 181.194124
2008-10-22 177.657641
2008-10-23 175.984325
2008-10-24 169.475817
2008-10-27 164.580707
2008-10-28 184.19112
2008-10-29 178.821489
2008-10-30 179.665645
2008-10-31 179.50081
2008-11-03 173.072218
2008-11-04 183.287032
2008-11-05 170.949352
2008-11-06 165.444845
2008-11-07 165.40488
2008-11-10 159.231044
2008-11-11 155.574695
2008-11-12 145.354893
2008-11-13 155.884381
2008-11-14 154.855409
2008-11-17 149.910342
2008-11-18 148.561692
2008-11-19 139.950285
2008-11-20 129.650567
2008-11-21 131.084136
2008-11-24 128.591636
2008-11-25 140.884362
2008-11-26 145.899353
2008-11-28 146.333924
2008-12-01 132.862369
2008-12-02 137.417819
2008-12-03 139.575662
2008-12-04 137.033205
2008-12-05 141.853387
2008-12-08 150.904353
2008-12-09 152.832425
2008-12-10 154.256003
2008-12-11 149.960299
2008-12-12 157.722547
2008-12-15 155.18009
2008-12-16 162.477808
2008-12-17 157.462802
2008-12-18 154.985281
