"Index" "F.Adjusted"
2007-12-04 5.492514
2007-12-05 5.500394
2007-12-06 5.563437
2007-12-07 5.563437
2007-12-10 5.626478
2007-12-11 5.492514
2007-12-12 5.563437
2007-12-13 5.508274
2007-12-14 5.429472
2007-12-17 5.35855
2007-12-18 5.36643
2007-12-19 5.32703
2007-12-20 5.350669
2007-12-21 5.350669
2007-12-24 5.319149
2007-12-26 5.429472
2007-12-27 5.390071
2007-12-28 5.279748
2007-12-31 5.303388
2008-01-02 5.200946
2008-01-03 5.082742
2008-01-04 4.830575
2008-01-07 4.854217
2008-01-08 4.806935
2008-01-09 4.783295
2008-01-10 4.925138
2008-01-11 4.775415
2008-01-14 4.869977
2008-01-15 4.704492
2008-01-16 4.61781
2008-01-17 4.539007
2008-01-18 4.665091
2008-01-22 4.672971
2008-01-23 4.96454
2008-01-24 4.933018
2008-01-25 5.185185
2008-01-28 5.256108
2008-01-29 5.271868
2008-01-30 5.319149
2008-01-31 5.232466
2008-02-01 5.397951
2008-02-04 5.263988
2008-02-05 5.066981
2008-02-06 4.97242
2008-02-07 4.862096
2008-02-08 4.791174
2008-02-11 5.035461
2008-02-12 5.090622
2008-02-13 5.185185
2008-02-14 5.090622
2008-02-15 5.082742
2008-02-19 5.106383
2008-02-20 5.051221
2008-02-21 4.909378
2008-02-22 4.925138
2008-02-25 5.090622
2008-02-26 5.137905
2008-02-27 5.200946
2008-02-28 5.216706
2008-02-29 5.145785
2008-03-03 4.869977
2008-03-04 4.830575
2008-03-05 4.822694
2008-03-06 4.680851
2008-03-07 4.554767
2008-03-10 4.412923
2008-03-11 4.649331
2008-03-12 4.491726
2008-03-13 4.247439
2008-03-14 4.168637
2008-03-17 4.026793
2008-03-18 4.168637
2008-03-19 4.29472
2008-03-20 4.428684
2008-03-24 4.696612
2008-03-25 4.728134
2008-03-26 4.62569
2008-03-27 4.594168
2008-03-28 4.405043
2008-03-31 4.507485
2008-04-01 4.704492
2008-04-02 4.830575
2008-04-03 5.090622
2008-04-04 5.114264
2008-04-07 5.303388
2008-04-08 5.445233
2008-04-09 5.295507
2008-04-10 5.311269
2008-04-11 5.271868
2008-04-14 5.342791
2008-04-15 5.421592
2008-04-16 5.665879
2008-04-17 5.72104
2008-04-18 5.870764
2008-04-21 6.091411
2008-04-22 6.028368
2008-04-23 5.925925
2008-04-24 6.619386
2008-04-25 5.910164
2008-04-28 6.469663
2008-04-29 6.398739
2008-04-30 6.509064
2008-05-01 6.682427
2008-05-02 6.516943
2008-05-05 6.564225
2008-05-06 6.516943
2008-05-07 6.272656
2008-05-08 6.461781
2008-05-09 6.382978
2008-05-12 6.422379
2008-05-13 6.485422
2008-05-14 6.4145
2008-05-15 6.43814
2008-05-16 6.39086
2008-05-19 6.319937
2008-05-20 6.304177
2008-05-21 6.146574
2008-05-22 5.642237
2008-05-23 5.413711
2008-05-27 5.35855
2008-05-28 5.342791
2008-05-29 5.287627
2008-05-30 5.35855
2008-06-02 5.232466
2008-06-03 5.263988
2008-06-04 5.090622
2008-06-05 5.043341
2008-06-06 4.759653
2008-06-09 5.011821
2008-06-10 4.822694
2008-06-11 4.704492
2008-06-12 4.728134
2008-06-13 4.940897
2008-06-16 5.122144
2008-06-17 5.200946
2008-06-18 4.901497
2008-06-19 4.9803
2008-06-20 4.578408
2008-06-23 4.160758
2008-06-24 4.192278
2008-06-25 4.129236
2008-06-26 3.995272
2008-06-27 3.92435
2008-06-30 3.790386
2008-07-01 3.711584
2008-07-02 3.435776
2008-07-03 3.483059
2008-07-07 3.522458
2008-07-08 3.861308
2008-07-09 3.900709
2008-07-10 3.609141
2008-07-11 3.829787
2008-07-14 3.672183
2008-07-15 3.664303
2008-07-16 4.32624
2008-07-17 4.32624
2008-07-18 4.28684
2008-07-21 4.318362
2008-07-22 4.602049
2008-07-23 4.751774
2008-07-24 4.026793
2008-07-25 3.979511
2008-07-28 3.743104
2008-07-29 3.95587
2008-07-30 3.814027
2008-07-31 3.782506
2008-08-01 3.664303
2008-08-04 3.790386
2008-08-05 4.011033
2008-08-06 3.892829
2008-08-07 3.829787
2008-08-08 4.144995
2008-08-11 4.066193
2008-08-12 4.089836
2008-08-13 3.845548
2008-08-14 4.018912
2008-08-15 4.026793
2008-08-18 3.853428
2008-08-19 3.719464
2008-08-20 3.632782
2008-08-21 3.483059
2008-08-22 3.522458
2008-08-25 3.475177
2008-08-26 3.427896
2008-08-27 3.356974
