Date APPLE AMAZON FORD GOOGLE MICROSOFT VOLKSWAGEN
2007-04-27 12.420069 62.599998 5.549691 238.610626 22.594032 NA
2007-04-30 12.405153 61.330002 5.542797 234.809875 22.459003 NA
2007-05-01 12.364135 62.040001 5.549691 233.624313 22.804066 NA
2007-05-02 12.478493 61.18 5.63242 232.020325 22.961599 NA
2007-05-03 12.479732 62.189999 5.646208 235.731415 23.231646 NA
2007-05-04 12.530697 63.23 5.666891 234.680359 22.924089 NA
2007-05-07 12.91727 60.82 5.625525 232.762543 23.036613 NA
2007-05-08 13.058974 61.830002 5.770301 232.533401 23.066614 NA
2007-05-09 13.285197 62.849998 5.756512 233.748856 23.089119 NA
2007-05-10 13.342376 60.919998 5.680677 229.873383 22.939091 NA
2007-05-11 13.516395 61.560001 5.770301 232.498535 23.171637 NA
2007-05-14 13.593463 61.700001 6.004697 230.027802 23.231646 NA
2007-05-15 13.364749 60.580002 6.142579 228.144852 23.254215 NA
2007-05-16 13.342376 63.220001 6.039168 235.422577 23.382154 NA
2007-05-17 13.603409 62.169998 6.039168 234.600662 23.314426 NA
2007-05-18 13.675502 63.299999 5.990908 234.28186 23.201542 NA
2007-05-21 13.919127 68.300003 6.052956 234.421326 23.367104 NA
2007-05-22 14.113034 68.879997 5.984015 237.041504 23.096182 NA
2007-05-23 14.032239 69 6.039168 236.100037 23.013399 NA
2007-05-24 13.758779 69.349998 5.853028 236.279373 22.704844 NA
2007-05-25 14.12298 68.550003 5.825452 240.857208 22.938143 NA
2007-05-29 14.213718 69.629997 5.790982 242.645508 23.171432 NA
2007-05-30 14.763127 69.860001 5.859922 248.369049 23.41226 NA
2007-05-31 15.063934 69.139999 5.749619 248.025345 23.096182 NA
2007-06-01 14.717135 68.580002 5.756512 249.265686 23.020924 NA
2007-06-04 15.081335 70.419998 5.701358 252.588242 23.118755 NA
2007-06-05 15.247898 73.650002 5.728936 258.451263 23.013399 NA
2007-06-06 15.368467 72.290001 5.694465 258.157349 22.795162 NA
2007-06-07 15.421922 72.040001 5.556584 256.568329 22.290939 NA
2007-06-08 15.474121 73.239998 5.680677 256.782501 22.614542 NA
2007-06-11 14.939635 71.169998 5.790982 254.715271 22.591959 NA
2007-06-12 14.96325 70.07 5.73583 251.442535 22.464029 NA
2007-06-13 14.605266 70.889999 5.901287 251.676651 22.87042 NA
